OKRSEK,ZAPSANI_VOLICI,VYDANE_OBALKY,ODEVZDANE_OBALKY,PLATNE_HLASY,batch
538183-1,86,59,59,59,3
562548-1,87,49,49,49,3
536539-1,66,37,37,37,3
551503-1,201,128,128,128,3
505587-14,99,45,45,45,3
547255-1,61,53,53,53,3
562416-1,34,31,31,31,3
573264-1,172,100,100,99,3
570168-2,43,38,38,38,3
572616-1,144,94,94,93,3
560570-3,194,89,89,89,3
503444-9,79,53,53,53,3
553786-9,58,47,47,47,3
555584-2,87,50,50,50,3
537021-2,48,23,23,23,3
566489-1,60,36,36,36,3
561771-1,16,14,14,14,3
557846-3,47,39,39,39,3
553671-7,125,71,71,71,3
586943-6,74,50,50,50,3
505030-1,161,102,102,101,3
589586-1,235,158,157,156,3
587206-1,65,48,48,48,3
548901-1,92,69,69,69,3
561801-1,91,61,61,61,3
563871-8,259,176,175,175,3
548782-1,81,52,52,50,3
561479-1,150,83,83,82,3
541281-5,120,57,57,56,3
549614-1,83,37,37,35,3
599247-5,238,144,144,144,3
570478-3,133,88,88,88,3
561487-1,53,43,43,43,3
537136-1,48,42,42,41,3
546224-15025,690,301,301,301,3
581283-7,533,356,356,352,3
529966-1,139,93,93,92,3
578797-1,99,84,84,83,3
593231-1,115,81,81,81,3
595390-1,157,121,121,121,3
537454-2,112,73,73,73,3
561151-4,208,93,93,93,3
534200-3,122,83,83,83,3
536199-1,92,43,43,43,3
597520-27,224,111,111,111,3
535991-1,310,206,206,206,3
530905-6,113,68,68,68,3
568848-1,204,130,130,130,3
568414-7,194,129,129,129,3
552828-4,214,99,99,99,3
574121-14,231,158,158,157,3
572900-3,56,47,47,47,3
578461-1,49,31,31,30,3
534650-2,59,45,45,45,3
597121-1,105,71,71,71,3
585891-6,72,58,58,58,3
552526-1,220,151,151,151,3
590266-33,58,37,37,37,3
594512-1,172,76,76,76,3
544957-1,51,47,47,47,3
538973-1,251,171,171,170,3
586838-1,168,111,111,111,3
502081-2001,858,232,232,232,3
576549-1,153,109,109,109,3
562629-1,99,68,68,67,3
590312-1,188,96,96,96,3
576263-3,83,55,55,55,3
544515-2,86,57,57,56,3
587214-1,52,40,40,40,3
563901-2,144,89,89,89,3
539376-1,105,69,69,69,3
514276-1,323,175,175,173,3
599352-4,478,311,311,310,3
551881-1,163,70,70,69,3
537675-2,79,50,50,48,3
573248-13,93,72,72,72,3
559946-1,50,37,37,37,3
578576-10,130,81,81,81,3
556955-7,75,56,56,56,3
599565-6,627,436,436,432,3
532711-1,136,94,94,91,3
547280-5,99,67,67,67,3
599191-18,149,104,104,104,3
552046-32,191,137,137,137,3
561941-1,69,53,53,53,3
550817-2,48,30,30,30,3
575119-1,191,146,146,146,3
538019-1,259,157,157,156,3
577308-6,63,36,36,36,3
569950-1,281,108,108,108,3
591122-1,195,128,127,127,3
539554-1,186,91,91,91,3
556637-6,60,37,37,37,3
553271-7,155,104,104,102,3
598003-12,813,347,346,343,3
567892-1001,599,180,180,177,3
500623-3,113,86,86,84,3
596736-1,92,80,80,80,3
572667-1,169,111,111,111,3
532665-1,328,199,199,198,3
587559-1,104,77,77,77,3
549550-1,228,151,151,151,3
575127-1,133,74,74,73,3
586889-1,209,159,159,159,3
564311-1,226,117,117,115,3
565709-7,85,70,70,70,3
561843-1,50,45,45,45,3
571521-1,133,74,74,74,3
547361-14001,198,147,147,145,3
553450-4,60,34,34,34,3
571393-15,86,55,55,55,3
544591-2,95,65,65,64,3
537306-1,71,42,42,42,3
541702-1,331,186,186,184,3
500178-6013,415,300,300,296,3
544884-2,107,71,71,69,3
558630-3,83,64,64,64,3
536865-1,193,141,141,141,25
562602-1,119,82,82,82,3
538817-1,160,81,81,81,3
597783-9,110,72,72,72,3
531421-1,83,61,61,61,3
535591-1,210,149,149,149,3
588806-1,213,101,101,101,3
533807-2,570,368,368,367,3
551953-2,111,78,78,78,3
546224-15010,573,300,300,299,3
546135-11096,158,99,99,95,3
561363-1,92,66,66,66,3
572241-5,182,138,138,138,3
548308-1,117,91,91,91,3
598917-61,460,275,274,270,3
557846-2,58,45,45,45,3
532886-1,148,111,110,110,3
591939-2,86,54,54,52,3
563820-6,207,135,135,135,3
577391-1,196,130,130,130,3
534391-2,63,49,49,49,3
578959-1,135,71,71,71,3
574244-1,198,140,140,139,3
570451-6,94,68,68,68,3
599620-1,337,201,201,201,3
534170-1,150,97,97,94,3
549355-1,184,94,94,94,3
564826-1,216,142,142,142,3
599395-1,47,30,30,30,3
561380-37,284,110,110,110,3
510891-5,62,35,35,35,3
598763-1,100,62,62,62,3
599069-16,758,303,303,300,3
561631-4,99,49,49,49,3
562335-43,80,59,59,59,3
578347-15,122,76,76,76,3
545911-8039,106,33,33,33,3
588016-1,87,51,51,51,3
536369-1,62,53,53,53,3
541281-11,116,86,86,86,3
591190-2,94,37,37,36,3
559075-6,102,74,74,74,3
529591-1,192,115,115,115,3
588148-1,102,70,70,69,3
588733-2,153,108,108,108,3
570575-1,204,126,126,123,3
549240-29,99,58,58,58,3
561835-6,196,106,106,106,3
565407-1,50,31,31,31,3
597783-12,455,251,251,249,3
540528-1,121,66,66,66,3
537641-4,530,386,386,384,3
589705-4,111,56,56,56,3
545627-1,344,196,195,192,3
511021-8,61,32,32,32,3
564265-4,126,77,77,77,3
502316-4003,612,315,315,312,3
599557-1,68,49,49,47,3
541869-1,57,46,45,45,3
557196-1,233,131,131,131,3
587281-1,105,69,69,69,3
550400-1,119,77,77,77,3
586960-1,139,89,89,89,3
540617-1,134,81,81,80,3
565202-1,65,53,53,53,3
537535-1,69,43,43,43,3
598933-9,651,361,361,359,3
533408-1,211,118,118,118,3
559300-1,217,129,129,129,3
548421-1,232,165,165,165,3
535419-42,125,83,83,83,3
532614-1,85,57,57,57,3
560448-1,153,110,110,109,3
533793-1,90,67,67,67,3
586919-1,206,149,149,146,3
548537-1,39,36,36,36,3
573591-1,59,44,44,44,3
532037-1,191,136,136,136,3
548383-2,51,38,38,38,3
571776-3,225,136,136,136,3
536156-1,83,65,65,65,3
561789-1,176,109,109,109,3
566209-1,88,39,39,38,3
573256-1,156,107,107,107,3
562963-1,66,48,48,48,3
581917-14,58,46,46,46,3
565105-1,110,75,75,74,3
548693-1,139,87,87,85,3
597635-3,245,142,142,142,3
547166-1,611,313,313,311,3
595411-11,72,62,62,61,3
506621-1,149,75,75,75,3
561151-3,97,65,65,64,3
582603-3,147,97,97,96,3
553891-2,113,87,87,87,3
507971-4,401,287,287,287,3
546224-15012,583,394,392,392,3
566136-1,295,169,169,169,3
592889-26,292,200,200,200,3
546003-3006,415,133,133,133,3
532053-33,749,455,455,449,3
569551-1,229,133,133,132,3
537021-5,42,26,26,26,3
533939-1,82,55,54,54,3
580821-1,284,214,214,214,3
547492-20,89,63,63,63,3
567892-1007,673,424,424,423,3
563960-3,81,45,45,45,3
551899-1,119,87,87,87,3
586315-1,149,96,96,95,3
559075-5,105,70,70,70,3
589624-6,107,71,71,71,3
505587-13,152,94,94,93,3
558362-5,90,59,59,59,3
541745-1,101,74,74,74,3
581054-1,94,71,71,70,3
507270-3,283,200,200,196,3
583529-1,174,100,100,99,3
599263-1,112,58,58,58,3
598666-1,38,27,27,26,3
546283-1,189,129,129,129,3
599905-1,100,66,66,66,3
576271-8,60,37,37,36,3
597678-5,92,39,39,39,3
533513-1,179,119,119,119,3
549771-10,43,36,36,36,3
598003-19,524,291,291,291,3
572756-1,127,80,80,80,3
513521-1,152,100,100,99,3
501298-3014,616,349,348,346,3
551333-1,198,108,107,106,3
594652-1,81,49,49,49,3
563331-1,222,107,107,107,3
547727-1,85,62,62,62,3
549592-2,93,56,56,56,3
565822-1,68,51,51,51,3
566811-1,51,33,33,33,3
578541-1,199,141,141,141,3
547387-15013,684,457,457,453,3
570869-3,153,88,88,88,3
561380-18,428,230,230,229,3
568457-1,220,152,152,150,3
583278-1,182,124,124,123,3
576808-2,208,122,122,120,3
562335-20,245,43,43,43,3
596647-3,70,51,51,51,3
530131-1,188,130,130,130,3
544302-6,118,87,87,85,3
563641-3,112,88,88,88,3
537055-2,124,84,84,84,3
588512-5,181,132,132,132,3
597783-7,172,75,75,75,3
566357-3,125,71,71,69,3
558028-2,76,59,59,59,3
588296-21,120,69,69,69,3
573965-11,223,162,162,160,3
554855-1,300,169,168,168,3
571458-2,51,32,32,32,3
560260-3,21,17,17,17,3
537241-1,84,55,55,55,3
536300-1,113,94,94,94,3
589403-3,126,83,83,83,3
507113-3,121,91,91,91,3
577774-1,281,212,212,212,3
548391-3,38,33,33,33,3
545384-5,23,13,13,13,3
551546-1,63,45,45,45,3
537951-1,62,49,49,49,3
572861-1,207,134,134,134,3
581283-3,474,336,335,334,3
511021-7,79,44,44,44,3
569186-3,85,67,67,67,3
541826-1,87,71,71,71,3
570354-1,122,74,74,74,3
587699-1,83,58,58,58,3
551678-3,56,38,38,38,3
598917-33,456,46,46,45,3
535346-1,340,260,260,258,3
505587-15,241,170,170,170,3
571776-6,115,70,70,70,3
533505-1,256,137,137,137,3
565849-7,98,70,69,69,3
573787-1,302,215,215,214,3
571148-1,104,59,59,59,3
599069-14,708,383,381,380,3
589624-3,128,91,91,90,3
545562-9,247,172,172,172,3
504955-1,117,82,82,82,3
557587-5,68,42,42,42,3
502146-4,220,119,119,119,3
560197-1,62,54,54,54,3
540421-1,82,52,52,52,3
572900-2,44,36,36,36,3
599468-4,155,74,74,74,3
580708-2,67,56,56,55,3
547263-5,93,57,57,57,3
562084-1,100,62,62,62,3
575399-1,34,26,26,25,3
537187-1,78,62,62,62,3
587176-1,310,218,218,217,3
546135-11031,776,349,349,347,3
597783-4,805,269,269,264,3
553867-1,105,80,80,80,3
530841-8,325,206,206,204,3
574406-2,61,43,43,43,3
599921-8,185,99,99,99,3
598771-1,41,33,33,32,3
559351-7,142,105,105,105,3
569461-1,152,104,104,104,3
557200-5,42,35,35,35,3
561380-2,600,348,347,344,3
541281-13,58,41,41,41,3
571644-1,145,94,94,94,3
578771-1,103,59,59,59,3
553891-1,183,139,139,139,3
530981-1,201,98,98,98,3
596507-1,41,34,34,34,3
569127-1,143,102,102,102,3
555304-1,341,194,194,194,3
599417-1,202,150,150,149,3
588083-1,70,55,55,54,3
562599-1,196,117,117,115,3
569747-1,180,121,121,121,3
595411-14,247,170,170,169,3
591238-1,54,40,40,38,3
580121-1,91,71,71,70,3
591297-1,98,68,68,68,3
513571-1,133,96,96,96,3
500143-5004,348,201,201,200,3
546224-15067,429,262,262,262,3
598810-8,791,410,410,405,3
594351-1,179,123,123,123,3
534471-1,313,174,174,173,3
530042-1,64,54,54,54,3
567027-19,179,119,119,119,3
582069-1,124,97,97,97,3
511382-14,684,278,278,276,3
548791-1,75,60,60,59,3
581283-18,421,222,222,222,3
536725-1,83,59,59,59,3
581151-2,138,81,81,81,3
576409-1,181,140,140,138,3
561452-1,85,53,53,53,3
551198-3008,567,378,378,378,3
590657-1,68,48,48,47,3
550736-1,177,127,127,127,3
557838-4,65,37,37,37,3
591068-1,114,74,74,72,3
563901-4,118,74,74,74,3
562955-1,71,53,53,53,3
540706-1,73,50,50,50,3
590789-6,62,31,31,31,3
568414-31,44,37,37,36,3
546453-1,186,111,111,111,3
503444-16,154,112,112,111,3
547492-17,145,99,99,99,3
598003-38,634,417,417,413,3
532207-3,154,84,84,84,3
572411-2,561,336,336,335,3
559377-1,358,221,221,221,3
588831-1,189,130,130,130,3
541834-1,598,323,323,321,3
547336-3,103,71,71,70,3
574716-1014,507,293,293,292,3
573680-3,61,39,39,39,3
587532-1,144,85,85,84,3
511021-6,166,84,84,84,3
586404-3,197,117,117,115,3
599069-6,564,355,355,353,3
551953-1,128,79,79,79,3
543543-1,192,103,103,102,3
583120-11,306,189,189,187,3
557013-3,65,56,56,56,3
552097-1,193,131,131,130,3
587664-1,122,93,93,93,3
593150-1,294,138,138,138,3
540218-2,116,75,75,75,3
562271-1,96,72,72,72,3
567485-2,190,115,115,115,3
534889-1,126,94,94,93,3
531065-1,114,85,85,85,3
586439-1,277,179,179,178,3
544744-3,64,47,47,47,3
570451-1,147,108,108,108,3
542113-2,113,85,85,83,3
577448-1,75,58,58,58,3
599247-8,186,133,133,132,3
578746-1,191,134,134,134,3
598917-34,774,82,82,82,3
546186-1,202,130,130,130,3
530905-7,116,73,73,73,3
560260-5,25,20,20,20,3
566373-1,72,52,52,52,3
541290-3,39,17,17,17,3
542318-1,171,118,118,118,3
999997-47,75,62,62,62,3
540153-1,351,265,263,263,3
534960-1,212,139,139,138,3
529630-1,259,169,169,169,3
581844-1,52,43,43,43,3
569569-9,136,84,84,84,3
591556-1,61,44,44,44,3
588296-6,918,574,570,559,3
588601-5,244,161,161,160,3
581283-19,1122,389,388,385,3
559253-1,99,73,73,73,3
571393-2,491,306,306,301,3
537683-14,261,174,174,173,3
561380-33,588,281,281,280,3
568104-3,83,42,42,42,3
573884-1,457,292,292,290,3
558125-6,96,66,66,66,3
561851-1,251,170,170,169,3
578215-1,253,129,129,128,3
536831-1,73,49,49,49,3
514705-9,89,50,50,50,3
562483-1,119,57,57,55,3
550434-1,464,288,286,286,3
596001-1,38,27,27,27,3
576476-1,437,259,259,257,3
568759-12,124,88,88,88,3
566276-1,67,45,45,44,3
579491-1,139,80,80,80,3
589519-2,68,47,47,47,3
536016-1,377,261,261,260,3
541915-1,156,102,102,102,3
529303-1,888,308,307,306,3
533181-3,83,56,56,56,3
578827-1,126,76,76,76,3
576069-13,246,166,166,165,3
530549-1,139,107,107,107,3
597520-8,767,395,395,392,3
553204-1,317,193,193,191,3
561266-1,51,41,41,41,3
535354-1,316,158,158,158,3
545881-24,191,137,137,135,3
999997-76,9,7,7,7,3
595608-1,167,129,129,127,3
548260-1,130,94,94,94,3
548511-6,74,47,47,47,3
553514-1,210,145,145,144,3
547999-8,483,324,324,322,3
554251-1,151,125,125,125,3
574121-15,132,91,91,89,3
546135-11005,231,133,133,133,3
573922-4,131,88,88,87,3
513288-1,126,80,80,79,3
557951-2,31,19,19,19,3
553140-1,61,44,44,44,3
595349-1,111,72,72,72,3
563935-2,241,90,90,90,3
532517-1,64,45,45,44,3
545147-2,86,59,59,59,3
587753-1,109,93,93,92,3
549380-2,89,59,59,59,3
545171-8,59,45,45,45,3
597180-19,70,19,19,19,3
531359-1,321,201,201,199,3
565873-1,137,80,80,80,3
593125-1,318,197,197,195,3
999997-71,13,8,8,8,3
542288-1,111,80,80,79,3
561681-1,347,176,176,176,3
568716-1,617,410,409,407,3
561151-2,111,49,49,49,3
567892-1004,473,255,255,251,3
562335-31,494,150,150,150,3
599905-4,209,152,152,152,3
557200-1,35,27,27,27,3
510343-2,221,151,151,151,3
565814-4,189,118,118,118,3
593117-3,384,202,202,202,3
590215-1,396,262,262,262,3
594458-5,128,81,81,80,3
550728-3,91,74,74,74,3
539911-35,81,64,64,63,3
580481-6,94,54,54,54,3
563960-6,49,32,32,31,3
536814-1,250,154,154,153,3
599255-1,84,52,52,52,3
533955-11,148,99,99,99,3
572268-5,178,133,133,133,3
586846-48,126,91,91,90,3
573604-1,126,87,87,86,3
563871-5,274,197,197,196,3
551333-3,73,51,51,51,3
502081-2005,855,390,386,385,4
548391-1,205,141,141,141,4
557081-1,236,114,114,114,4
541796-1,136,94,94,94,4
560529-1,112,85,85,85,4
564893-2,166,96,96,95,4
578444-13,181,109,109,108,4
505587-18,113,66,66,66,4
549070-1,85,62,62,61,4
596639-1,82,63,63,62,4
537802-1,270,174,174,173,4
561380-31,562,243,243,230,4
587940-1,63,42,42,42,4
598143-10,296,193,193,190,4
599662-1,123,89,89,89,4
545988-2016,704,471,471,468,4
588725-1,399,277,277,274,4
541389-1,356,271,271,270,4
505188-13,81,55,55,55,4
562980-1,189,121,121,121,4
598917-32,435,48,48,48,4
574651-1,421,297,297,294,4
545155-5,48,35,35,35,4
532932-1,24,13,13,13,4
565083-2,86,61,61,61,4
537055-1,372,227,227,226,4
567256-2,493,162,162,162,4
598933-13,500,317,317,312,4
546224-15009,570,249,249,249,4
535184-1,244,185,185,185,4
599484-1,89,75,75,74,4
569364-1,121,83,83,83,4
561738-1,153,110,110,109,4
544825-1,285,226,226,226,4
585319-1,232,152,152,152,4
553964-1,154,108,108,107,4
588334-1,143,98,98,96,4
566691-1,50,35,35,34,4
586862-3,86,61,61,60,4
539911-13,36,26,26,25,4
561631-7,109,59,59,59,4
549584-2,79,54,54,54,4
539295-1,624,406,406,404,4
564699-1,127,62,62,62,4
570877-3,130,80,80,80,4
537641-6,334,190,190,189,4
565971-21,76,39,39,39,4
528196-1,161,125,125,124,4
570494-1,326,235,235,235,4
546933-1,141,111,111,111,4
581283-27,390,255,255,255,4
599069-24,800,398,398,395,4
566179-1,128,84,84,84,4
566314-5,92,36,36,36,4
559024-1,119,82,82,82,4
560472-7,424,244,244,244,4
534901-1,222,138,138,138,4
562335-44,443,316,316,315,4
530786-1,168,111,111,110,4
567442-26,491,288,288,285,4
557951-5,39,32,32,32,4
500623-1,147,75,75,75,4
573116-1,408,299,297,296,4
541281-9,178,120,120,120,4
580783-1,59,39,39,38,4
564125-1,156,115,115,115,4
587567-1,161,109,109,109,4
551970-4,72,49,49,49,4
535427-8,71,44,44,44,4
530794-1,171,111,111,109,4
560707-1,311,71,71,71,4
592889-1,1156,266,266,264,4
537730-1,59,48,48,48,4
567639-11,230,115,115,115,4
569267-1,184,127,127,126,4
549029-1,71,48,48,48,4
548685-1,70,52,52,52,4
586536-1,138,85,85,85,4
576271-10,267,215,215,215,4
546135-11020,774,470,469,464,4
571393-1,594,414,414,414,4
588890-1,629,412,412,412,4
597724-1,412,218,217,216,4
547999-11,145,100,100,99,4
595411-10,100,71,71,71,4
534366-1,200,136,135,135,4
575640-7,145,93,93,93,4
533955-6,1224,289,289,286,4
501298-3020,701,435,432,428,4
541605-1,203,116,116,115,4
564702-1,74,52,52,52,4
573868-24,91,69,69,69,4
513504-1,312,212,212,211,4
574341-7,121,91,91,91,4
550396-1,161,119,119,119,4
558711-1,222,135,135,132,4
568619-1,120,90,90,89,4
540137-1,43,33,32,32,4
561380-40,274,157,157,155,4
513415-1,172,116,116,116,4
532690-1,104,78,78,78,4
556718-3,105,70,70,69,4
547689-1,88,69,69,69,4
545171-9,79,52,52,52,4
529303-22,189,136,136,136,4
534641-2,77,51,51,51,4
566624-7,115,62,62,60,4
588849-3,163,95,95,95,4
509116-1,168,117,117,117,4
580996-1,155,110,110,110,4
511412-1,90,68,68,66,4
563901-3,191,143,143,141,4
578398-1,186,137,137,137,4
558303-4,68,48,48,48,4
596957-5,103,77,77,76,4
582832-1,145,88,88,87,4
530646-1,200,134,134,134,4
573329-4,74,58,58,57,4
578622-1,133,111,111,109,4
542407-1,295,215,215,214,4
579891-3,595,355,355,354,4
598003-24,668,414,414,410,4
541630-11,384,231,231,229,4
589055-1,127,83,83,81,4
545058-5,407,265,265,265,4
554316-1,193,138,138,138,4
530271-1,70,31,31,31,4
595411-13,92,64,64,64,4
598917-28,696,179,179,179,4
549487-2,141,89,89,87,4
539279-2,541,284,284,282,4
556726-1,104,87,87,87,4
577162-4,49,34,34,34,4
502081-2003,648,231,231,231,4
544442-4,196,149,149,147,4
529664-1,58,26,26,26,4
562149-1,38,32,32,32,4
552925-1,206,133,133,133,4
545988-2024,905,561,561,557,4
559300-7,676,244,244,240,4
555835-5,82,58,58,58,4
530841-11,158,116,116,116,4
503444-8,218,119,119,119,4
556335-5,69,58,58,58,4
574121-8,675,387,387,381,4
563609-2,167,99,99,99,4
591335-1,113,88,88,88,4
551635-1,217,125,125,125,4
547280-4,55,35,35,35,4
574325-1,173,121,121,121,4
551333-2,99,66,66,66,4
577308-7,126,83,83,82,4
598003-25,755,426,426,423,4
570508-10,67,37,37,37,4
581917-7,91,66,66,65,4
534013-2,44,39,39,39,4
545201-10,76,59,59,59,4
554057-1,179,111,111,110,4
571512-1,87,65,65,65,4
551821-1,134,90,90,88,4
572241-8,98,60,60,60,4
599352-8,245,127,127,126,4
535923-2,67,42,42,42,4
589799-1,204,98,98,96,4
562238-1,80,51,51,51,4
568759-7,229,151,151,151,4
506460-3,120,76,76,76,4
530671-1,50,36,36,35,4
572268-6,127,95,95,94,4
547085-1,287,219,219,219,4
552372-3,142,69,69,69,4
569569-8,146,95,95,94,4
561282-1,73,50,50,50,4
590321-1,304,184,184,184,4
599051-10,821,401,401,399,4
538094-14,69,41,41,41,4
574082-8,78,41,41,41,4
542351-2,84,52,52,52,4
561380-27,709,346,346,344,4
596434-1,157,114,114,114,4
534013-3,105,77,77,76,4
546135-11014,807,414,414,412,4
590223-1,288,192,192,192,4
545473-2,105,64,64,64,4
533653-2,76,60,60,60,4
552879-1,453,268,268,267,4
541451-1,195,125,125,125,4
562882-13,251,137,137,137,4
530662-1,116,88,88,87,4
586200-1,326,193,193,193,4
537802-3,49,29,29,29,4
563871-6,89,62,62,60,4
553085-1,80,62,62,62,4
590100-1,383,231,231,230,4
574147-1,136,103,103,102,4
540463-1,47,37,37,37,4
565296-1,176,83,83,83,4
546224-15047,553,402,402,393,4
540269-1,218,153,153,152,4
596230-15,207,143,143,143,4
561444-3,125,73,72,72,4
553581-1,327,214,214,213,4
555380-9,217,117,117,116,4
569917-3,170,119,119,119,4
557838-5,108,71,71,71,4
559768-1,111,79,79,79,4
548723-1,109,69,69,69,4
551163-1,161,92,92,92,4
537551-1,276,180,180,177,4
535613-1,101,81,81,80,4
562424-1,50,25,25,25,4
578321-1,96,65,65,65,4
547859-1,96,58,58,58,4
511633-1,364,234,234,234,4
589314-2,70,47,47,47,4
540471-10,125,88,88,88,4
535087-3,106,57,57,57,4
587974-1,258,182,182,181,4
588229-1,61,48,48,48,4
598810-13,743,417,417,417,4
583308-1,103,61,61,61,4
553671-5,142,67,67,67,4
534552-1,200,123,123,123,4
573345-1,216,155,155,152,4
565814-5,133,75,75,75,4
585939-4,141,118,118,118,4
569879-1,325,233,233,233,4
560235-1,212,137,137,133,4
581372-12,185,123,123,123,4
598003-23,880,543,543,539,4
564630-1,135,105,105,105,4
588032-6,127,86,86,85,4
571725-1,78,62,62,60,4
546585-1,431,244,244,241,4
553786-6,53,29,29,29,4
567892-1013,418,268,268,267,4
