id,name,okres,vojvodství
21006,gm. Platerówka,lubański,dolnośląskie
21007,gm. Siekierczyn,lubański,dolnośląskie
21101,m. Lubin,lubiński,dolnośląskie
21102,gm. Lubin,lubiński,dolnośląskie
21103,gm. Rudna,lubiński,dolnośląskie
21104,gm. Ścinawa,lubiński,dolnośląskie
21201,gm. Gryfów Śląski,lwówecki,dolnośląskie
21202,gm. Lubomierz,lwówecki,dolnośląskie
21203,gm. Lwówek Śląski,lwówecki,dolnośląskie
21204,gm. Mirsk,lwówecki,dolnośląskie
21205,gm. Wleń,lwówecki,dolnośląskie
21301,gm. Cieszków,milicki,dolnośląskie
21302,gm. Krośnice,milicki,dolnośląskie
21303,gm. Milicz,milicki,dolnośląskie
21401,m. Oleśnica,oleśnicki,dolnośląskie
21402,gm. Bierutów,oleśnicki,dolnośląskie
21403,gm. Dobroszyce,oleśnicki,dolnośląskie
21404,gm. Dziadowa Kłoda,oleśnicki,dolnośląskie
21405,gm. Międzybórz,oleśnicki,dolnośląskie
21406,gm. Oleśnica,oleśnicki,dolnośląskie
21407,gm. Syców,oleśnicki,dolnośląskie
21408,gm. Twardogóra,oleśnicki,dolnośląskie
21501,m. Oława,oławski,dolnośląskie
21502,gm. Domaniów,oławski,dolnośląskie
21503,gm. Jelcz-Laskowice,oławski,dolnośląskie
21504,gm. Oława,oławski,dolnośląskie
21601,gm. Chocianów,polkowicki,dolnośląskie
21602,gm. Gaworzyce,polkowicki,dolnośląskie
21603,gm. Grębocice,polkowicki,dolnośląskie
21604,gm. Polkowice,polkowicki,dolnośląskie
21605,gm. Przemków,polkowicki,dolnośląskie
21606,gm. Radwanice,polkowicki,dolnośląskie
21701,gm. Borów,strzeliński,dolnośląskie
21702,gm. Kondratowice,strzeliński,dolnośląskie
21703,gm. Przeworno,strzeliński,dolnośląskie
21704,gm. Strzelin,strzeliński,dolnośląskie
21705,gm. Wiązów,strzeliński,dolnośląskie
21801,gm. Kostomłoty,średzki,dolnośląskie
21802,gm. Malczyce,średzki,dolnośląskie
21803,gm. Miękinia,średzki,dolnośląskie
21804,gm. Środa Śląska,średzki,dolnośląskie
21805,gm. Udanin,średzki,dolnośląskie
21901,m. Świdnica,świdnicki,dolnośląskie
21902,m. Świebodzice,świdnicki,dolnośląskie
21903,gm. Dobromierz,świdnicki,dolnośląskie
21904,gm. Jaworzyna Śląska,świdnicki,dolnośląskie
21905,gm. Marcinowice,świdnicki,dolnośląskie
21906,gm. Strzegom,świdnicki,dolnośląskie
21907,gm. Świdnica,świdnicki,dolnośląskie
21908,gm. Żarów,świdnicki,dolnośląskie
22001,gm. Oborniki Śląskie,trzebnicki,dolnośląskie
22002,gm. Prusice,trzebnicki,dolnośląskie
22003,gm. Trzebnica,trzebnicki,dolnośląskie
22004,gm. Wisznia Mała,trzebnicki,dolnośląskie
22005,gm. Zawonia,trzebnicki,dolnośląskie
22006,gm. Żmigród,trzebnicki,dolnośląskie
22101,m. Boguszów-Gorce,wałbrzyski,dolnośląskie
22102,m. Jedlina-Zdrój,wałbrzyski,dolnośląskie
22103,m. Szczawno-Zdrój,wałbrzyski,dolnośląskie
22104,gm. Czarny Bór,wałbrzyski,dolnośląskie
22105,gm. Głuszyca,wałbrzyski,dolnośląskie
22106,gm. Mieroszów,wałbrzyski,dolnośląskie
22107,gm. Stare Bogaczowice,wałbrzyski,dolnośląskie
22108,gm. Walim,wałbrzyski,dolnośląskie
22201,gm. Brzeg Dolny,wołowski,dolnośląskie
22202,gm. Wińsko,wołowski,dolnośląskie
22203,gm. Wołów,wołowski,dolnośląskie
22301,gm. Czernica,wrocławski,dolnośląskie
22302,gm. Długołęka,wrocławski,dolnośląskie
22303,gm. Jordanów Śląski,wrocławski,dolnośląskie
22304,gm. Kąty Wrocławskie,wrocławski,dolnośląskie
22305,gm. Kobierzyce,wrocławski,dolnośląskie
22306,gm. Mietków,wrocławski,dolnośląskie
22307,gm. Sobótka,wrocławski,dolnośląskie
22308,gm. Siechnice,wrocławski,dolnośląskie
22309,gm. Żórawina,wrocławski,dolnośląskie
22401,gm. Bardo,ząbkowicki,dolnośląskie
22402,gm. Ciepłowody,ząbkowicki,dolnośląskie
22403,gm. Kamieniec Ząbkowicki,ząbkowicki,dolnośląskie
22404,gm. Stoszowice,ząbkowicki,dolnośląskie
22405,gm. Ząbkowice Śląskie,ząbkowicki,dolnośląskie
22406,gm. Ziębice,ząbkowicki,dolnośląskie
22407,gm. Złoty Stok,ząbkowicki,dolnośląskie
22501,m. Zawidów,zgorzelecki,dolnośląskie
22502,m. Zgorzelec,zgorzelecki,dolnośląskie
22503,gm. Bogatynia,zgorzelecki,dolnośląskie
22504,gm. Pieńsk,zgorzelecki,dolnośląskie
22505,gm. Sulików,zgorzelecki,dolnośląskie
22506,gm. Węgliniec,zgorzelecki,dolnośląskie
22507,gm. Zgorzelec,zgorzelecki,dolnośląskie
22601,m. Wojcieszów,złotoryjski,dolnośląskie
22602,m. Złotoryja,złotoryjski,dolnośląskie
22603,gm. Pielgrzymka,złotoryjski,dolnośląskie
22604,gm. Świerzawa,złotoryjski,dolnośląskie
22605,gm. Zagrodno,złotoryjski,dolnośląskie
22606,gm. Złotoryja,złotoryjski,dolnośląskie
26101,Jelenia Góra,Jelenia Góra,dolnośląskie
26201,Legnica,Legnica,dolnośląskie
26401,Wrocław,Wrocław,dolnośląskie
26501,Wałbrzych,Wałbrzych,dolnośląskie
40101,m. Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie
40102,m. Ciechocinek,aleksandrowski,kujawsko-pomorskie
40103,m. Nieszawa,aleksandrowski,kujawsko-pomorskie
40104,gm. Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie
40105,gm. Bądkowo,aleksandrowski,kujawsko-pomorskie
40106,gm. Koneck,aleksandrowski,kujawsko-pomorskie
40107,gm. Raciążek,aleksandrowski,kujawsko-pomorskie
40108,gm. Waganiec,aleksandrowski,kujawsko-pomorskie
40109,gm. Zakrzewo,aleksandrowski,kujawsko-pomorskie
40201,m. Brodnica,brodnicki,kujawsko-pomorskie
40202,gm. Bobrowo,brodnicki,kujawsko-pomorskie
40203,gm. Brodnica,brodnicki,kujawsko-pomorskie
40204,gm. Brzozie,brodnicki,kujawsko-pomorskie
40205,gm. Górzno,brodnicki,kujawsko-pomorskie
40206,gm. Bartniczka,brodnicki,kujawsko-pomorskie
40207,gm. Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie
40208,gm. Osiek,brodnicki,kujawsko-pomorskie
40209,gm. Świedziebnia,brodnicki,kujawsko-pomorskie
40210,gm. Zbiczno,brodnicki,kujawsko-pomorskie
40301,gm. Białe Błota,bydgoski,kujawsko-pomorskie
40302,gm. Dąbrowa Chełmińska,bydgoski,kujawsko-pomorskie
40303,gm. Dobrcz,bydgoski,kujawsko-pomorskie
40304,gm. Koronowo,bydgoski,kujawsko-pomorskie
40305,gm. Nowa Wieś Wielka,bydgoski,kujawsko-pomorskie
40306,gm. Osielsko,bydgoski,kujawsko-pomorskie
40307,gm. Sicienko,bydgoski,kujawsko-pomorskie
40308,gm. Solec Kujawski,bydgoski,kujawsko-pomorskie
40401,m. Chełmno,chełmiński,kujawsko-pomorskie
40402,gm. Chełmno,chełmiński,kujawsko-pomorskie
40403,gm. Kijewo Królewskie,chełmiński,kujawsko-pomorskie
40404,gm. Lisewo,chełmiński,kujawsko-pomorskie
40405,gm. Papowo Biskupie,chełmiński,kujawsko-pomorskie
40406,gm. Stolno,chełmiński,kujawsko-pomorskie
40407,gm. Unisław,chełmiński,kujawsko-pomorskie
40501,m. Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie
40502,gm. Ciechocin,golubsko-dobrzyński,kujawsko-pomorskie
40503,gm. Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie
40504,gm. Kowalewo Pomorskie,golubsko-dobrzyński,kujawsko-pomorskie
40505,gm. Radomin,golubsko-dobrzyński,kujawsko-pomorskie
40506,gm. Zbójno,golubsko-dobrzyński,kujawsko-pomorskie
40601,gm. Grudziądz,grudziądzki,kujawsko-pomorskie
40602,gm. Gruta,grudziądzki,kujawsko-pomorskie
40603,gm. Łasin,grudziądzki,kujawsko-pomorskie
40604,gm. Radzyń Chełmiński,grudziądzki,kujawsko-pomorskie
40605,gm. Rogóźno,grudziądzki,kujawsko-pomorskie
40606,gm. Świecie nad Osą,grudziądzki,kujawsko-pomorskie
40701,m. Inowrocław,inowrocławski,kujawsko-pomorskie
40702,gm. Dąbrowa Biskupia,inowrocławski,kujawsko-pomorskie
40703,gm. Gniewkowo,inowrocławski,kujawsko-pomorskie
40704,gm. Inowrocław,inowrocławski,kujawsko-pomorskie
40705,gm. Janikowo,inowrocławski,kujawsko-pomorskie
40706,gm. Kruszwica,inowrocławski,kujawsko-pomorskie
40707,gm. Pakość,inowrocławski,kujawsko-pomorskie
40708,gm. Rojewo,inowrocławski,kujawsko-pomorskie
40709,gm. Złotniki Kujawskie,inowrocławski,kujawsko-pomorskie
40801,m. Lipno,lipnowski,kujawsko-pomorskie
40802,gm. Bobrowniki,lipnowski,kujawsko-pomorskie
40803,gm. Chrostkowo,lipnowski,kujawsko-pomorskie
40804,gm. Dobrzyń nad Wisłą,lipnowski,kujawsko-pomorskie
40805,gm. Kikół,lipnowski,kujawsko-pomorskie
40806,gm. Lipno,lipnowski,kujawsko-pomorskie
40807,gm. Skępe,lipnowski,kujawsko-pomorskie
40808,gm. Tłuchowo,lipnowski,kujawsko-pomorskie
40809,gm. Wielgie,lipnowski,kujawsko-pomorskie
40901,gm. Dąbrowa,mogileński,kujawsko-pomorskie
40902,gm. Jeziora Wielkie,mogileński,kujawsko-pomorskie
40903,gm. Mogilno,mogileński,kujawsko-pomorskie
40904,gm. Strzelno,mogileński,kujawsko-pomorskie
41001,gm. Kcynia,nakielski,kujawsko-pomorskie
41002,gm. Mrocza,nakielski,kujawsko-pomorskie
41003,gm. Nakło nad Notecią,nakielski,kujawsko-pomorskie
41004,gm. Sadki,nakielski,kujawsko-pomorskie
41005,gm. Szubin,nakielski,kujawsko-pomorskie
41101,m. Radziejów,radziejowski,kujawsko-pomorskie
41102,gm. Bytoń,radziejowski,kujawsko-pomorskie
41103,gm. Dobre,radziejowski,kujawsko-pomorskie
41104,gm. Osięciny,radziejowski,kujawsko-pomorskie
41105,gm. Piotrków Kujawski,radziejowski,kujawsko-pomorskie
41106,gm. Radziejów,radziejowski,kujawsko-pomorskie
41107,gm. Topólka,radziejowski,kujawsko-pomorskie
41201,m. Rypin,rypiński,kujawsko-pomorskie
41202,gm. Brzuze,rypiński,kujawsko-pomorskie
41203,gm. Rogowo,rypiński,kujawsko-pomorskie
41204,gm. Rypin,rypiński,kujawsko-pomorskie
41205,gm. Skrwilno,rypiński,kujawsko-pomorskie
41206,gm. Wąpielsk,rypiński,kujawsko-pomorskie
41301,gm. Kamień Krajeński,sępoleński,kujawsko-pomorskie
41302,gm. Sępólno Krajeńskie,sępoleński,kujawsko-pomorskie
41303,gm. Sośno,sępoleński,kujawsko-pomorskie
41304,gm. Więcbork,sępoleński,kujawsko-pomorskie
41401,gm. Bukowiec,świecki,kujawsko-pomorskie
41402,gm. Dragacz,świecki,kujawsko-pomorskie
41403,gm. Drzycim,świecki,kujawsko-pomorskie
41404,gm. Jeżewo,świecki,kujawsko-pomorskie
41405,gm. Lniano,świecki,kujawsko-pomorskie
41406,gm. Nowe,świecki,kujawsko-pomorskie
41407,gm. Osie,świecki,kujawsko-pomorskie
41408,gm. Pruszcz,świecki,kujawsko-pomorskie
41409,gm. Świecie,świecki,kujawsko-pomorskie
41410,gm. Świekatowo,świecki,kujawsko-pomorskie
41411,gm. Warlubie,świecki,kujawsko-pomorskie
41501,m. Chełmża,toruński,kujawsko-pomorskie
41502,gm. Chełmża,toruński,kujawsko-pomorskie
41503,gm. Czernikowo,toruński,kujawsko-pomorskie
41504,gm. Lubicz,toruński,kujawsko-pomorskie
41505,gm. Łubianka,toruński,kujawsko-pomorskie
41506,gm. Łysomice,toruński,kujawsko-pomorskie
41507,gm. Obrowo,toruński,kujawsko-pomorskie
41508,gm. Wielka Nieszawka,toruński,kujawsko-pomorskie
41509,gm. Zławieś Wielka,toruński,kujawsko-pomorskie
41601,gm. Cekcyn,tucholski,kujawsko-pomorskie
41602,gm. Gostycyn,tucholski,kujawsko-pomorskie
41603,gm. Kęsowo,tucholski,kujawsko-pomorskie
41604,gm. Lubiewo,tucholski,kujawsko-pomorskie
41605,gm. Śliwice,tucholski,kujawsko-pomorskie
41606,gm. Tuchola,tucholski,kujawsko-pomorskie
41701,m. Wąbrzeźno,wąbrzeski,kujawsko-pomorskie
41702,gm. Dębowa Łąka,wąbrzeski,kujawsko-pomorskie
41703,gm. Książki,wąbrzeski,kujawsko-pomorskie
41704,gm. Płużnica,wąbrzeski,kujawsko-pomorskie
41705,gm. Ryńsk,wąbrzeski,kujawsko-pomorskie
41801,m. Kowal,włocławski,kujawsko-pomorskie
41802,gm. Baruchowo,włocławski,kujawsko-pomorskie
41803,gm. Boniewo,włocławski,kujawsko-pomorskie
41804,gm. Brześć Kujawski,włocławski,kujawsko-pomorskie
41805,gm. Choceń,włocławski,kujawsko-pomorskie
41806,gm. Chodecz,włocławski,kujawsko-pomorskie
41807,gm. Fabianki,włocławski,kujawsko-pomorskie
41808,gm. Izbica Kujawska,włocławski,kujawsko-pomorskie
41809,gm. Kowal,włocławski,kujawsko-pomorskie
41810,gm. Lubanie,włocławski,kujawsko-pomorskie
41811,gm. Lubień Kujawski,włocławski,kujawsko-pomorskie
41812,gm. Lubraniec,włocławski,kujawsko-pomorskie
41813,gm. Włocławek,włocławski,kujawsko-pomorskie
41901,gm. Barcin,żniński,kujawsko-pomorskie
41902,gm. Gąsawa,żniński,kujawsko-pomorskie
41903,gm. Janowiec Wielkopolski,żniński,kujawsko-pomorskie
41904,gm. Łabiszyn,żniński,kujawsko-pomorskie
41905,gm. Rogowo,żniński,kujawsko-pomorskie
41906,gm. Żnin,żniński,kujawsko-pomorskie
46101,Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
46201,Grudziądz,Grudziądz,kujawsko-pomorskie
46301,Toruń,Toruń,kujawsko-pomorskie
46401,Włocławek,Włocławek,kujawsko-pomorskie
60101,m. Międzyrzec Podlaski,bialski,lubelskie
60102,m. Terespol,bialski,lubelskie
60103,gm. Biała Podlaska,bialski,lubelskie
60104,gm. Drelów,bialski,lubelskie
60105,gm. Janów Podlaski,bialski,lubelskie
60106,gm. Kodeń,bialski,lubelskie
60107,gm. Konstantynów,bialski,lubelskie
60108,gm. Leśna Podlaska,bialski,lubelskie
60109,gm. Łomazy,bialski,lubelskie
60110,gm. Międzyrzec Podlaski,bialski,lubelskie
60111,gm. Piszczac,bialski,lubelskie
60112,gm. Rokitno,bialski,lubelskie
60113,gm. Rossosz,bialski,lubelskie
60114,gm. Sławatycze,bialski,lubelskie
60115,gm. Sosnówka,bialski,lubelskie
60116,gm. Terespol,bialski,lubelskie
60117,gm. Tuczna,bialski,lubelskie
60118,gm. Wisznice,bialski,lubelskie
60119,gm. Zalesie,bialski,lubelskie
60201,m. Biłgoraj,biłgorajski,lubelskie
60202,gm. Aleksandrów,biłgorajski,lubelskie
60203,gm. Biłgoraj,biłgorajski,lubelskie
60204,gm. Biszcza,biłgorajski,lubelskie
60205,gm. Frampol,biłgorajski,lubelskie
60206,gm. Goraj,biłgorajski,lubelskie
60207,gm. Józefów,biłgorajski,lubelskie
60208,gm. Księżpol,biłgorajski,lubelskie
60209,gm. Łukowa,biłgorajski,lubelskie
60210,gm. Obsza,biłgorajski,lubelskie
60211,gm. Potok Górny,biłgorajski,lubelskie
60212,gm. Tarnogród,biłgorajski,lubelskie
60213,gm. Tereszpol,biłgorajski,lubelskie
60214,gm. Turobin,biłgorajski,lubelskie
60301,m. Rejowiec Fabryczny,chełmski,lubelskie
60302,gm. Białopole,chełmski,lubelskie
60303,gm. Chełm,chełmski,lubelskie
60304,gm. Dorohusk,chełmski,lubelskie
60305,gm. Dubienka,chełmski,lubelskie
60306,gm. Kamień,chełmski,lubelskie
60307,gm. Leśniowice,chełmski,lubelskie
60308,gm. Rejowiec Fabryczny,chełmski,lubelskie
60309,gm. Ruda-Huta,chełmski,lubelskie
60310,gm. Sawin,chełmski,lubelskie
60311,gm. Siedliszcze,chełmski,lubelskie
60312,gm. Wierzbica,chełmski,lubelskie
60313,gm. Wojsławice,chełmski,lubelskie
60314,gm. Żmudź,chełmski,lubelskie
60315,gm. Rejowiec,chełmski,lubelskie
60401,m. Hrubieszów,hrubieszowski,lubelskie
60402,gm. Dołhobyczów,hrubieszowski,lubelskie
60403,gm. Horodło,hrubieszowski,lubelskie
60404,gm. Hrubieszów,hrubieszowski,lubelskie
60405,gm. Mircze,hrubieszowski,lubelskie
60406,gm. Trzeszczany,hrubieszowski,lubelskie
60407,gm. Uchanie,hrubieszowski,lubelskie
60408,gm. Werbkowice,hrubieszowski,lubelskie
60501,gm. Batorz,janowski,lubelskie
60502,gm. Chrzanów,janowski,lubelskie
60503,gm. Dzwola,janowski,lubelskie
60504,gm. Godziszów,janowski,lubelskie
60505,gm. Janów Lubelski,janowski,lubelskie
60506,gm. Modliborzyce,janowski,lubelskie
60507,gm. Potok Wielki,janowski,lubelskie
60601,m. Krasnystaw,krasnostawski,lubelskie
60602,gm. Fajsławice,krasnostawski,lubelskie
60603,gm. Gorzków,krasnostawski,lubelskie
60604,gm. Izbica,krasnostawski,lubelskie
60605,gm. Krasnystaw,krasnostawski,lubelskie
60606,gm. Kraśniczyn,krasnostawski,lubelskie
60607,gm. Łopiennik Górny,krasnostawski,lubelskie
60609,gm. Rudnik,krasnostawski,lubelskie
60610,gm. Siennica Różana,krasnostawski,lubelskie
60611,gm. Żółkiewka,krasnostawski,lubelskie
60701,m. Kraśnik,kraśnicki,lubelskie
60702,gm. Annopol,kraśnicki,lubelskie
60703,gm. Dzierzkowice,kraśnicki,lubelskie
60704,gm. Gościeradów,kraśnicki,lubelskie
60705,gm. Kraśnik,kraśnicki,lubelskie
60706,gm. Szastarka,kraśnicki,lubelskie
60707,gm. Trzydnik Duży,kraśnicki,lubelskie
60708,gm. Urzędów,kraśnicki,lubelskie
60709,gm. Wilkołaz,kraśnicki,lubelskie
60710,gm. Zakrzówek,kraśnicki,lubelskie
60801,m. Lubartów,lubartowski,lubelskie
60802,gm. Abramów,lubartowski,lubelskie
60803,gm. Firlej,lubartowski,lubelskie
60804,gm. Jeziorzany,lubartowski,lubelskie
60805,gm. Kamionka,lubartowski,lubelskie
60806,gm. Kock,lubartowski,lubelskie
60807,gm. Lubartów,lubartowski,lubelskie
60808,gm. Michów,lubartowski,lubelskie
60809,gm. Niedźwiada,lubartowski,lubelskie
60810,gm. Ostrów Lubelski,lubartowski,lubelskie
60811,gm. Ostrówek,lubartowski,lubelskie
60812,gm. Serniki,lubartowski,lubelskie
60813,gm. Uścimów,lubartowski,lubelskie
60901,gm. Bełżyce,lubelski,lubelskie
60902,gm. Borzechów,lubelski,lubelskie
60903,gm. Bychawa,lubelski,lubelskie
60904,gm. Garbów,lubelski,lubelskie
60905,gm. Głusk,lubelski,lubelskie
60906,gm. Jabłonna,lubelski,lubelskie
60907,gm. Jastków,lubelski,lubelskie
60908,gm. Konopnica,lubelski,lubelskie
60909,gm. Krzczonów,lubelski,lubelskie
60910,gm. Niedrzwica Duża,lubelski,lubelskie
60911,gm. Niemce,lubelski,lubelskie
60912,gm. Strzyżewice,lubelski,lubelskie
60913,gm. Wojciechów,lubelski,lubelskie
60914,gm. Wólka,lubelski,lubelskie
60915,gm. Wysokie,lubelski,lubelskie
60916,gm. Zakrzew,lubelski,lubelskie
61001,gm. Cyców,łęczyński,lubelskie
61002,gm. Ludwin,łęczyński,lubelskie
61003,gm. Łęczna,łęczyński,lubelskie
61004,gm. Milejów,łęczyński,lubelskie
61005,gm. Puchaczów,łęczyński,lubelskie
61006,gm. Spiczyn,łęczyński,lubelskie
61101,m. Łuków,łukowski,lubelskie
61102,m. Stoczek Łukowski,łukowski,lubelskie
61103,gm. Adamów,łukowski,lubelskie
61104,gm. Krzywda,łukowski,lubelskie
61105,gm. Łuków,łukowski,lubelskie
61106,gm. Serokomla,łukowski,lubelskie
61107,gm. Stanin,łukowski,lubelskie
61108,gm. Stoczek Łukowski,łukowski,lubelskie
61109,gm. Trzebieszów,łukowski,lubelskie
61110,gm. Wojcieszków,łukowski,lubelskie
61111,gm. Wola Mysłowska,łukowski,lubelskie
61201,gm. Chodel,opolski,lubelskie
61202,gm. Józefów nad Wisłą,opolski,lubelskie
61203,gm. Karczmiska,opolski,lubelskie
61204,gm. Łaziska,opolski,lubelskie
61205,gm. Opole Lubelskie,opolski,lubelskie
61206,gm. Poniatowa,opolski,lubelskie
61207,gm. Wilków,opolski,lubelskie
61301,gm. Dębowa Kłoda,parczewski,lubelskie
61302,gm. Jabłoń,parczewski,lubelskie
61303,gm. Milanów,parczewski,lubelskie
61304,gm. Parczew,parczewski,lubelskie
61305,gm. Podedwórze,parczewski,lubelskie
61306,gm. Siemień,parczewski,lubelskie
61307,gm. Sosnowica,parczewski,lubelskie
61401,m. Puławy,puławski,lubelskie
61402,gm. Baranów,puławski,lubelskie
61403,gm. Janowiec,puławski,lubelskie
61404,gm. Kazimierz Dolny,puławski,lubelskie
61405,gm. Końskowola,puławski,lubelskie
61406,gm. Kurów,puławski,lubelskie
61407,gm. Markuszów,puławski,lubelskie
61408,gm. Nałęczów,puławski,lubelskie
61409,gm. Puławy,puławski,lubelskie
61410,gm. Wąwolnica,puławski,lubelskie
61411,gm. Żyrzyn,puławski,lubelskie
61501,m. Radzyń Podlaski,radzyński,lubelskie
61502,gm. Borki,radzyński,lubelskie
61503,gm. Czemierniki,radzyński,lubelskie
61504,gm. Kąkolewnica,radzyński,lubelskie
61505,gm. Komarówka Podlaska,radzyński,lubelskie
61506,gm. Radzyń Podlaski,radzyński,lubelskie
61507,gm. Ulan-Majorat,radzyński,lubelskie
61508,gm. Wohyń,radzyński,lubelskie
61601,m. Dęblin,rycki,lubelskie
61602,gm. Kłoczew,rycki,lubelskie
61603,gm. Nowodwór,rycki,lubelskie
61604,gm. Ryki,rycki,lubelskie
61605,gm. Stężyca,rycki,lubelskie
61606,gm. Ułęż,rycki,lubelskie
61701,m. Świdnik,świdnicki,lubelskie
61702,gm. Mełgiew,świdnicki,lubelskie
61703,gm. Piaski,świdnicki,lubelskie
61704,gm. Rybczewice,świdnicki,lubelskie
61705,gm. Trawniki,świdnicki,lubelskie
61801,m. Tomaszów Lubelski,tomaszowski,lubelskie
61802,gm. Bełżec,tomaszowski,lubelskie
61803,gm. Jarczów,tomaszowski,lubelskie
61804,gm. Krynice,tomaszowski,lubelskie
61805,gm. Lubycza Królewska,tomaszowski,lubelskie
61806,gm. Łaszczów,tomaszowski,lubelskie
61807,gm. Rachanie,tomaszowski,lubelskie
61808,gm. Susiec,tomaszowski,lubelskie
61809,gm. Tarnawatka,tomaszowski,lubelskie
61810,gm. Telatyn,tomaszowski,lubelskie
61811,gm. Tomaszów Lubelski,tomaszowski,lubelskie
61812,gm. Tyszowce,tomaszowski,lubelskie
61813,gm. Ulhówek,tomaszowski,lubelskie
61901,m. Włodawa,włodawski,lubelskie
61902,gm. Hanna,włodawski,lubelskie
61903,gm. Hańsk,włodawski,lubelskie
61904,gm. Stary Brus,włodawski,lubelskie
61905,gm. Urszulin,włodawski,lubelskie
61906,gm. Włodawa,włodawski,lubelskie
61907,gm. Wola Uhruska,włodawski,lubelskie
61908,gm. Wyryki,włodawski,lubelskie
62001,gm. Adamów,zamojski,lubelskie
62002,gm. Grabowiec,zamojski,lubelskie
62003,gm. Komarów-Osada,zamojski,lubelskie
62004,gm. Krasnobród,zamojski,lubelskie
62005,gm. Łabunie,zamojski,lubelskie
62006,gm. Miączyn,zamojski,lubelskie
62007,gm. Nielisz,zamojski,lubelskie
