OKRSEK,ZAPSANI_VOLICI,VYDANE_OBALKY,ODEVZDANE_OBALKY,PLATNE_HLASY,batch
573060-3,52,33,33,33,3
599557-1,73,59,59,59,3
545384-6,30,21,21,21,3
590967-1,144,108,108,107,3
547727-1,84,68,68,68,3
553280-1,132,108,108,107,3
551635-1,203,143,142,142,3
596507-1,33,27,27,27,3
559806-2,61,35,35,35,3
541826-1,86,71,71,71,3
545911-8039,106,44,44,44,3
530271-1,80,42,42,42,3
551546-1,61,50,50,50,3
541915-1,169,127,127,127,3
531014-1,62,47,47,47,3
546933-1,154,122,122,120,3
547999-11,158,131,131,131,3
588016-1,86,55,55,54,3
551872-1,160,83,83,83,3
570052-1,163,120,120,119,3
558052-1,80,51,51,51,3
545023-1,94,62,62,61,3
565709-7,83,63,63,63,3
545970-1032,490,381,381,380,3
549363-3,122,81,81,80,3
566594-1,83,65,65,65,3
567892-1007,625,428,428,426,3
549096-1,249,169,169,168,3
553964-1,153,105,105,105,3
554961-0,14,14,14,14,3
544876-1,122,92,92,92,3
540056-1,116,81,81,81,3
547280-4,50,34,34,33,3
558249-8,106,85,85,85,3
575526-1,64,55,55,55,3
569364-1,118,91,91,90,3
552046-32,189,155,155,154,3
598429-1,341,246,246,244,3
587630-1,57,46,46,44,3
536792-1,67,53,53,53,3
541281-11,112,84,83,83,3
571890-1,95,62,62,60,3
566624-4,50,29,29,29,3
532231-1,26,22,22,22,3
589004-1,126,83,83,82,3
572411-4,215,129,129,129,3
581321-1,154,117,117,117,3
599808-3,728,506,506,503,3
530905-7,121,93,93,93,3
598917-28,576,257,257,257,3
546500-3,66,52,52,52,3
502316-4012,601,388,388,388,3
576964-1,404,282,282,281,3
599191-11,910,583,583,582,3
575071-3,83,73,73,73,3
559351-7,145,108,108,107,3
561282-1,83,67,67,67,3
539279-2,596,399,397,396,3
594989-1,167,124,123,123,3
590045-1,64,46,46,45,3
546135-11005,208,146,146,145,3
553841-1,332,231,231,231,3
553948-2,111,76,76,76,3
549592-2,88,61,61,60,3
531499-1,250,184,184,181,3
551953-11,332,238,238,238,3
555771-17,97,70,70,69,3
541630-11,425,306,306,306,3
595209-25,205,150,150,150,3
596493-2,54,48,48,48,3
565202-1,69,55,55,55,3
589497-1,200,157,157,157,3
562955-1,68,53,53,52,3
588555-1,317,242,242,241,3
549550-1,219,160,160,159,3
514047-1,218,176,176,175,3
548456-6,35,27,27,27,3
534471-1,334,232,232,231,3
567256-4,271,28,28,27,3
558079-1,57,41,41,41,3
576476-1,433,310,310,309,3
531065-1,120,94,94,94,3
582344-1,98,72,72,72,3
579203-15,226,165,165,165,3
567027-10,647,256,256,256,3
587826-1,94,79,78,76,3
535991-2,215,150,150,148,3
588806-1,192,115,115,115,3
545970-1034,491,352,352,348,3
554961-3,290,169,169,167,3
548723-1,106,89,89,88,3
566489-1,65,52,52,52,3
565822-1,64,57,57,55,3
574325-1,180,134,134,134,3
556335-5,81,65,65,65,3
578398-1,203,157,157,157,3
553930-1,100,70,70,70,3
565849-4,99,70,70,69,3
551678-2,77,56,56,56,3
570192-1,226,156,156,156,3
514527-1,49,43,43,43,3
564389-1,146,104,104,103,3
573507-3,190,136,136,135,3
588393-6,555,435,435,434,3
545988-2021,409,287,287,287,3
541281-13,66,48,48,48,3
595241-2,73,52,52,52,3
548359-1,120,94,94,94,3
575178-3,56,35,35,35,3
540471-12,129,98,98,96,3
545201-11,110,89,89,89,3
598518-1,87,57,57,56,3
567892-1013,416,297,297,297,3
581534-1,164,112,112,111,3
551783-1,200,134,134,131,3
546488-1,129,97,97,97,3
557587-8,52,42,42,42,3
570061-1,223,171,171,171,3
566985-14,698,458,458,456,3
573329-1,379,270,270,270,3
592889-1,1109,363,363,361,3
586838-1,161,113,113,113,3
546135-11017,684,466,466,461,3
573671-1,117,78,78,77,3
599565-6,578,398,398,398,3
541745-1,102,87,87,87,3
501298-3017,727,465,465,465,3
546291-2,51,41,41,40,3
542059-1,44,26,26,26,3
599069-14,650,402,402,400,3
550736-1,160,130,130,129,3
534200-1,388,273,273,273,3
540331-1,129,85,85,85,3
592749-3,434,311,311,309,3
557862-4,55,42,42,42,3
535427-9,51,43,43,43,3
598917-4,220,160,160,159,3
571296-1,96,74,74,73,3
513181-1,100,75,75,74,3
560057-2,129,102,102,102,3
531731-1,166,117,117,117,3
590321-1,302,230,230,230,3
590690-1,82,67,67,67,3
591211-5,85,72,72,72,3
599417-1,215,156,156,156,3
537411-3,68,57,57,57,3
574082-8,68,45,45,45,3
553271-7,154,110,110,110,3
530506-1,181,141,141,141,3
545732-1,153,123,123,123,3
529885-1,66,50,50,49,3
574279-10,515,387,387,386,3
545911-8001,727,242,242,242,3
535427-8,67,50,50,50,3
557838-5,111,80,80,80,3
578347-13,74,50,50,50,3
571687-1,112,92,92,92,3
581917-14,55,38,38,37,3
586251-1,199,139,139,137,3
561380-25,233,139,139,139,3
553786-6,56,42,42,42,3
514705-8,185,149,149,148,3
559300-6,423,315,315,312,3
565237-1,292,226,226,226,3
552224-1,99,79,79,78,3
551970-5,92,70,70,69,3
587192-1,111,74,74,74,3
536865-1,194,145,145,145,3
581283-3,457,333,333,330,3
592889-25,305,221,221,221,3
553671-7,115,81,81,81,3
530841-8,316,242,242,240,3
542113-2,108,91,91,89,3
594903-1,230,165,165,165,3
545384-3,78,60,60,60,3
587818-1,266,204,204,203,3
581151-2,118,87,87,87,3
563455-1,156,104,104,102,3
594652-1,97,60,60,60,3
547221-2,114,81,81,80,3
535443-5,158,130,130,129,3
549771-10,52,42,42,42,3
548979-1,81,54,54,52,3
577308-5,158,122,122,120,3
590002-1,273,196,196,195,3
537560-1,149,116,116,114,3
566497-1,52,37,37,37,3
567256-2,386,208,208,206,3
529591-1,196,152,152,152,3
562963-1,55,46,46,46,3
563871-6,105,82,82,81,3
552526-1,221,168,168,167,3
506621-1,123,75,75,75,3
566811-1,57,43,43,43,3
530131-1,178,126,126,126,3
538329-1,343,248,248,247,3
529303-17,548,400,400,396,3
596761-1,125,97,97,97,3
541559-1,159,90,90,90,3
578797-1,106,87,87,87,3
549169-1,182,138,138,135,3
555380-11,397,265,265,264,3
571041-5,93,72,72,72,3
574716-1000,23,23,23,23,3
548537-1,37,33,33,33,3
570192-2,104,84,84,82,3
533793-1,91,82,82,82,3
553581-1,312,208,208,208,3
597520-27,217,145,145,145,3
537454-2,124,99,99,99,3
547921-1,58,31,31,31,3
556718-5,100,61,61,60,3
547492-14,69,52,52,52,3
597180-13,501,363,363,363,3
583308-1,100,83,83,83,3
561215-6,902,598,598,596,3
550779-1,137,105,105,105,3
581283-27,369,256,256,255,3
588831-1,184,140,140,138,3
558362-3,149,95,95,95,3
598917-43,653,432,432,431,3
597635-4,358,257,257,255,3
532665-1,332,221,221,221,3
572802-1,101,86,86,86,3
549185-1,67,49,49,49,3
560855-1,294,204,204,202,3
571393-2,500,335,335,334,3
548111-5,195,132,132,132,3
551503-1,211,141,141,141,3
533076-1,189,146,146,146,3
570451-6,101,93,93,93,3
500089-2002,344,264,264,263,3
530905-5,84,63,63,63,3
534676-7,476,299,299,296,3
530395-1,183,126,126,124,3
533971-2,101,67,67,67,3
