OKRSEK,ZAPSANI_VOLICI,VYDANE_OBALKY,ODEVZDANE_OBALKY,PLATNE_HLASY,batch
551902-1,106,73,73,73,4
574015-3,52,36,36,36,4
557668-2,89,58,58,58,4
537454-2,121,86,86,86,4
557587-6,83,63,63,63,4
567892-1014,920,182,182,181,4
561495-5,166,118,118,118,4
591297-1,99,64,64,63,4
551155-2,38,29,29,29,4
589497-1,200,160,160,158,4
556335-5,79,59,59,59,4
587656-1,154,122,122,119,4
514047-1,215,170,170,169,4
560715-7,459,287,287,287,4
559075-6,99,73,73,71,4
549576-8,86,60,60,60,4
513270-1,147,115,115,111,4
552330-1,182,130,130,129,4
531421-1,63,49,49,48,4
535991-2,211,148,148,145,4
536415-1,38,31,31,30,4
536369-1,54,45,45,44,4
568571-1,139,92,92,91,4
545911-8027,471,309,309,306,4
571083-4,82,46,46,46,4
561061-1,171,134,134,134,4
571687-1,110,83,83,83,4
556955-4,112,82,82,82,4
533297-3,93,72,72,72,4
598470-1,223,172,172,168,4
595985-1,110,86,86,86,4
586251-1,200,140,140,140,4
535265-3,137,96,96,95,4
575526-1,64,56,56,56,4
535613-1,107,82,81,81,4
540471-12,129,93,93,91,4
551503-1,212,145,145,144,4
544591-3,74,45,45,45,4
553859-1,97,79,79,78,4
558125-2,67,35,35,35,4
550256-1,175,115,115,115,4
590754-8,49,39,39,39,4
534251-1,161,116,116,116,4
547921-1,59,36,36,36,4
558249-8,104,84,84,83,4
530905-7,121,85,85,83,4
596761-1,123,95,95,95,4
548537-1,39,35,35,34,4
581283-27,369,250,250,250,4
562335-43,84,73,73,72,4
598917-11,717,402,402,399,4
562807-1,145,119,119,119,4
554642-3,31,28,28,28,4
556718-5,104,60,60,60,4
580708-1,181,138,138,138,4
564389-1,149,115,115,111,4
533955-11,136,105,105,104,4
572667-1,166,122,122,121,4
546755-1,72,50,50,50,4
588831-1,186,142,141,141,4
598992-1,89,60,60,60,4
537551-1,264,200,200,195,4
559253-1,110,78,78,77,4
530743-1,175,134,134,132,4
550418-3,104,79,79,79,4
571873-3,69,58,58,58,4
590321-1,305,221,221,219,4
559806-2,61,41,41,41,4
588393-12,101,68,68,68,4
536814-1,247,171,171,171,4
574279-1,180,151,151,150,4
548111-4,58,46,46,46,4
562289-1,73,56,56,56,4
599468-4,150,94,94,93,4
540706-1,72,48,48,46,4
570052-1,161,121,121,120,4
541290-3,48,32,32,32,4
547221-2,117,83,83,83,4
549223-1,125,78,78,78,4
562882-13,249,166,166,164,4
558711-1,237,170,170,170,4
540331-1,125,79,79,78,4
581283-3,459,345,345,341,4
563480-1,148,113,113,113,4
557081-1,215,125,125,124,4
597635-4,353,227,227,226,4
597678-4,76,38,38,38,4
572292-1,50,44,44,43,4
578797-1,97,78,78,78,4
558257-2,97,78,78,78,4
572241-10,45,36,36,36,4
583308-1,100,76,76,75,4
565822-1,64,56,56,56,4
541745-1,102,86,86,85,4
537021-4,59,41,41,41,4
547689-1,102,80,80,76,4
551953-11,334,230,230,229,4
588091-1,26,17,17,17,4
536300-1,120,95,95,94,4
592978-1,212,142,142,142,4
532614-1,73,52,52,52,4
581321-1,153,124,124,123,4
592889-1,1123,307,307,305,4
536784-1,107,80,80,77,4
551082-1004,874,618,618,609,4
571300-1,111,83,83,83,4
581917-14,53,35,35,35,4
595349-1,130,98,98,97,4
544884-2,105,82,82,82,4
576476-1,433,304,304,304,4
531731-1,165,108,108,108,4
530581-1,245,162,162,162,4
551686-1,113,85,85,84,4
597775-1,123,78,78,78,4
597520-27,216,145,145,145,4
563901-2,151,100,100,98,4
588059-1,109,84,84,84,4
554294-5,108,87,87,87,4
544442-4,248,178,178,177,4
566624-8,108,73,73,73,4
559806-1,149,104,104,104,4
578347-13,75,57,57,57,4
533505-1,243,172,172,171,4
599077-5,296,160,160,159,4
562599-1,181,133,133,133,4
549142-2,42,35,35,35,4
570427-1,144,116,116,115,4
576271-9,73,58,58,56,4
508357-1,132,105,105,105,4
576026-2,113,91,91,91,4
505587-18,106,86,86,86,4
540102-1,91,66,66,66,4
513521-1,161,130,130,127,4
587818-1,265,213,213,212,4
550850-7,68,56,56,55,4
999997-88,54,32,32,32,4
545031-1,113,91,91,91,4
551759-1,220,158,158,156,4
531065-1,121,92,91,91,4
572756-1,134,95,95,94,4
569151-1,97,70,70,70,4
557196-1,230,135,135,133,4
557846-2,64,55,55,55,4
578029-1,247,197,197,194,4
572241-7,90,72,72,72,4
500178-6013,385,306,303,300,4
575925-1,382,289,289,287,4
590967-1,144,111,111,111,4
569178-1,263,187,187,184,4
583944-1,261,189,189,187,4
599191-18,154,124,124,121,4
534846-1,422,298,297,294,4
550540-2,64,53,53,52,4
580121-1,80,66,66,66,4
598518-1,82,51,51,51,4
567027-38,377,250,250,250,4
571725-1,68,60,60,60,4
588342-1,159,114,114,113,4
592889-23,287,207,207,206,4
553948-2,112,78,78,77,4
580660-1,195,153,153,152,4
572594-1,72,50,50,50,4
529877-1,57,44,44,44,4
570451-1,142,115,115,114,4
542636-1,86,64,64,64,4
533564-2,113,87,87,87,4
594652-1,96,53,53,52,4
557587-5,69,53,53,53,4
547701-1,63,44,44,43,4
573965-1,173,127,127,127,4
572659-13,368,270,270,266,4
597783-9,109,79,79,79,4
564362-1,140,100,100,100,4
548448-1,67,49,49,49,4
582646-3,44,31,31,31,4
582069-1,140,100,100,98,4
558052-1,82,49,49,49,4
549363-2,125,89,89,89,4
550779-1,139,109,109,108,4
599352-8,257,170,170,169,4
534803-3,102,81,81,81,4
534536-3,82,59,59,59,4
545899-1,320,225,225,224,4
534404-1,94,70,70,68,4
561118-1,69,50,50,50,4
550469-1,136,97,97,97,4
544825-1,280,222,222,221,4
595675-1,70,55,55,55,4
587982-1,217,154,154,153,4
545911-8030,224,119,119,119,4
576212-2,105,81,81,80,4
555771-17,97,71,71,70,4
544281-7,74,53,53,52,4
545881-6,389,260,260,257,4
544710-1,97,73,73,72,4
567256-4,273,21,21,21,4
588474-1,214,167,167,165,4
560979-1,168,101,101,101,4
548839-1,117,102,102,102,4
599808-3,733,483,482,479,4
588296-6,842,556,553,550,4
577774-1,312,249,249,248,4
591564-1,138,110,110,110,4
584193-1,51,37,37,37,4
537489-5,68,52,52,52,4
585157-1,158,112,112,111,4
570192-1,225,161,161,161,4
564311-1,236,157,157,156,4
531359-1,285,209,209,208,4
576328-1,88,74,74,74,4
551350-2,80,60,60,60,4
588148-1,99,84,84,84,4
545384-3,79,60,60,60,4
564591-3,265,179,179,179,4
564265-4,141,99,99,99,4
568414-7,214,158,158,158,4
551970-5,92,72,72,72,4
589705-4,101,69,69,65,4
573868-21,167,127,127,127,4
553450-4,58,41,41,41,4
573094-6,146,101,101,101,4
561690-1,37,25,25,25,4
557200-1,38,31,31,31,4
530905-6,123,85,85,84,4
588601-5,222,143,143,141,4
551660-4,42,32,32,32,4
596736-1,83,73,73,73,4
571598-1,91,65,65,65,4
574082-8,66,44,44,44,4
559075-5,110,83,83,82,4
546283-1,212,153,153,151,4
509418-1,84,70,70,70,4
569208-1,142,98,98,96,4
541559-1,159,89,89,89,4
545988-2026,582,425,425,417,4
583952-6,273,208,208,206,4
534200-3,150,123,123,122,4
556041-2,72,53,53,53,4
546003-3002,272,124,124,124,4
556955-7,82,55,55,55,4
546224-15006,858,321,321,320,4
566403-3,47,35,35,35,4
545911-8001,723,143,142,140,4
581917-12,86,64,64,64,4
577308-5,155,122,122,121,4
545058-26,588,421,421,419,4
567027-10,653,201,201,198,4
590878-1,95,67,67,67,4
506451-3,133,111,111,111,4
547859-1,92,64,64,64,4
529486-4,55,43,43,42,4
568759-12,121,87,87,85,4
564338-1,57,47,47,47,4
598631-1,61,47,47,46,4
532037-1,195,144,144,140,4
572861-1,182,141,141,141,4
593559-1,326,235,235,234,4
587061-1,77,63,63,63,4
598372-1,108,81,81,81,4
538973-1,287,214,214,214,4
532819-18,47,41,41,41,4
563170-1,39,36,36,35,4
596418-1,226,156,156,156,4
509191-1,152,100,100,98,4
553751-1,289,228,228,224,4
502316-4002,573,319,319,317,4
546135-11031,728,388,388,384,4
535117-3,233,190,190,190,4
589152-1,249,165,165,165,4
572748-1,336,193,193,192,4
548456-6,38,30,30,30,4
563960-6,43,29,29,29,4
588318-1,269,206,206,205,4
585319-1,223,150,150,148,4
558371-4,386,270,270,268,4
530981-1,220,129,129,129,4
547999-11,158,124,124,123,4
541524-1,179,148,148,148,4
599573-1,99,77,77,75,4
540731-1,178,128,128,125,4
561282-1,77,65,65,65,4
547531-1,112,83,83,83,4
569364-1,117,88,88,86,4
572900-2,44,38,38,36,4
554855-1,298,201,201,201,4
558125-3,54,43,43,42,4
556319-2,59,40,40,39,4
587974-1,260,216,216,215,4
529885-1,66,51,51,51,4
551198-3009,614,393,392,391,4
589331-1,177,126,126,126,4
575500-10,213,174,174,172,4
591122-1,175,125,125,123,4
532665-1,328,219,219,219,4
565202-1,67,57,57,57,4
561509-1,60,44,44,43,4
558800-1,55,45,45,45,4
541508-1,407,281,281,280,4
533181-3,100,76,76,76,4
570061-1,222,172,172,166,4
531715-1,392,306,306,303,4
562459-1,93,71,71,70,4
599069-14,655,375,375,375,4
540528-1,122,88,88,88,4
548847-1,114,91,91,89,4
563871-1,748,471,471,468,4
550981-1,164,112,112,110,4
573744-1,138,104,104,104,4
560332-1,214,122,122,121,4
553077-1,77,65,65,64,4
598917-30,700,233,233,231,4
550850-10,45,26,26,26,4
590525-1,101,81,81,81,4
578347-16,90,73,73,72,4
586846-53,126,101,101,101,4
587192-1,110,69,69,69,4
540293-1,135,93,93,93,4
547263-5,88,62,62,62,4
563978-1,108,85,85,84,4
571903-1,403,291,290,287,4
596493-2,50,43,43,43,4
548979-1,80,57,57,57,4
568619-1,127,104,104,104,4
595560-1,89,72,72,72,4
548251-1,106,83,83,83,4
571393-2,502,337,337,337,4
555771-22,43,39,39,39,4
537110-2,129,92,92,91,4
571890-1,95,59,59,57,4
549126-1,93,65,65,65,4
551481-1,149,107,107,104,4
582476-2,155,122,122,120,4
569577-1,354,250,250,249,4
566624-11,106,57,57,55,4
549584-3,77,54,54,53,4
565164-5,137,104,104,104,4
999997-60,23,15,15,15,4
554464-2,62,57,57,57,4
545911-8024,507,338,338,336,4
563234-1,133,97,97,96,4
575020-8001,208,137,137,136,4
501298-3017,739,465,465,461,4
573922-4,134,94,94,94,4
562262-3,409,175,175,172,4
559741-1,60,49,49,48,4
563811-3,321,229,229,228,4
548154-1,235,182,181,180,4
546046-19003,86,3,3,3,4
541281-11,116,88,88,88,4
550973-23033,550,354,354,353,4
569267-1,175,144,144,140,4
541192-1,143,108,108,107,4
576433-1,277,212,212,211,4
586366-1,141,122,122,121,4
598003-30,526,362,362,361,4
532428-1,207,163,163,160,4
566632-1,72,52,52,52,4
567892-1007,626,420,420,412,4
574546-3,100,74,74,74,4
599751-1,71,53,53,53,4
571997-1,58,45,45,45,4
549771-10,49,38,38,38,4
550957-2,115,102,102,102,4
573663-1,203,117,117,116,4
588482-1,120,85,85,85,4
557650-2,45,35,35,35,4
999997-52,44,37,37,37,4
546291-2,51,44,44,44,4
569887-2,85,65,65,62,4
578452-1,169,122,122,122,4
564672-1,300,218,218,216,4
543543-1,184,124,124,122,4
560553-1,43,31,31,31,4
559351-7,137,101,101,100,4
595411-9,50,35,35,35,4
593117-3,389,256,254,251,5
555771-27,117,77,77,77,5
530883-8,578,420,420,419,5
550418-2,91,69,69,69,5
534013-2,44,34,34,34,5
553069-6,465,361,361,355,5
514527-1,47,44,44,44,5
999997-109,90,48,48,48,5
547492-19,113,90,90,89,5
530395-1,180,114,114,113,5
545856-1,477,343,342,342,5
542407-1,335,252,252,249,5
578410-1,48,35,35,35,5
511412-1,99,79,79,78,5
531219-1,313,227,226,226,5
573604-1,129,99,99,97,5
549169-1,185,148,148,145,5
553271-7,151,106,106,106,5
598143-7,412,303,303,303,5
551082-1012,660,493,493,491,5
590312-2,35,22,22,22,5
598429-1,343,241,241,238,5
587141-1,594,446,446,441,5
566853-2,87,70,70,70,5
596973-8,86,65,65,65,5
534170-1,156,122,122,121,5
534391-2,66,57,57,57,5
591190-1,478,323,323,323,5
530905-4,139,101,101,101,5
541141-1,61,43,43,43,5
530689-2,246,204,204,203,5
576271-4,412,313,313,310,5
589004-3,55,44,44,41,5
509116-1,162,128,128,128,5
591181-10,87,72,72,72,5
578347-14,194,153,153,152,5
540421-1,85,62,62,62,5
595420-1,139,108,108,107,5
547336-3,102,76,76,76,5
586579-1,301,204,204,203,5
560928-2,85,56,56,55,5
573817-1,96,80,80,80,5
551937-1,97,67,67,66,5
565709-7,83,63,63,63,5
502316-4008,428,308,308,305,5
537586-3,144,102,102,100,5
572411-3,654,467,467,463,5
574279-10,515,390,390,385,5
531499-1,249,187,187,185,5
547549-1,154,114,114,114,5
545970-1010,602,440,440,436,5
531383-1,69,57,56,56,5
544817-1,96,64,64,64,5
551678-2,77,51,51,50,5
594458-1,621,384,384,379,5
583529-1,179,127,127,125,5
575861-1,130,104,104,104,5
579874-4,200,140,140,138,5
548341-1,61,48,48,48,5
570702-1,125,94,94,93,5
590461-1,155,123,123,123,5
540251-1,118,88,88,87,5
533408-1,218,146,146,144,5
546135-11021,644,413,413,413,5
583120-13,276,206,206,205,5
592749-3,438,298,298,298,5
561843-1,55,48,48,48,5
576549-1,185,140,140,140,5
578371-1,85,59,59,59,5
562424-1,38,27,27,27,5
572551-2,72,58,58,58,5
571199-1,162,127,127,127,5
580350-7,134,106,106,105,5
539627-1,333,267,267,259,5
535427-6,62,56,56,56,5
589098-1,220,151,150,149,5
550761-1,102,64,64,64,5
544256-2,841,586,586,584,5
545988-2021,412,278,278,278,5
574546-2,119,102,102,101,5
587681-1,340,239,239,239,5
556921-1,421,274,274,274,5
559369-1,225,160,160,157,5
537004-12,626,416,416,410,5
567256-2,387,183,183,183,5
571482-1,111,82,82,82,5
551970-4,69,45,45,45,5
544442-3,100,75,75,75,5
534501-2,53,47,47,47,5
558079-1,57,38,38,38,5
565971-20,103,75,75,75,5
599611-1,144,103,103,103,5
598828-1,105,76,76,76,5
587231-1,38,17,17,17,5
551333-2,98,74,74,72,5
548669-1,227,167,167,166,5
590215-1,430,306,306,304,5
590096-1,219,129,129,128,5
532231-1,26,22,22,22,5
548707-1,121,97,97,97,5
513750-15,114,81,81,80,5
533408-2,153,119,119,119,5
530999-1,314,224,224,223,5
571776-5,120,90,90,90,5
532819-19,129,50,50,50,5
568899-1,180,132,132,131,5
599352-1,482,336,336,335,5
537527-1,37,27,27,27,5
540463-1,47,27,27,27,5
531987-1,81,64,64,64,5
594351-1,191,147,147,147,5
550850-9,39,22,22,22,5
570168-2,58,49,49,49,5
545155-6,72,57,57,57,5
550019-1,162,108,108,107,5
546224-15010,757,450,448,445,5
537683-14,276,203,203,202,5
546950-1,53,47,47,47,5
560928-3,78,57,57,57,5
562831-1,70,51,51,51,5
597686-1,111,78,78,78,5
547492-24,30,28,28,28,5
561151-3,96,70,70,70,5
588709-2,177,128,128,128,5
546135-11045,937,543,543,541,5
502081-2015,1004,586,586,583,5
515825-1,91,63,63,61,5
573680-3,66,49,49,49,5
588334-1,138,101,101,100,5
562858-4,438,287,287,286,5
564567-18,521,349,349,344,5
563901-3,201,167,167,167,5
545911-8039,99,37,37,35,5
503622-3,54,50,50,50,5
541605-1,200,142,142,142,5
541419-1,266,169,169,167,5
544744-3,71,60,60,59,5
562301-1,182,137,137,136,5
578347-15,124,97,97,97,5
557102-1,303,218,218,218,5
575178-3,54,35,35,35,5
599808-9,379,318,318,316,5
579203-16,335,239,239,239,5
534200-2,267,227,227,226,5
551163-1,177,123,123,123,5
591181-11,104,71,71,71,5
578380-8,50,32,32,31,5
565407-1,57,48,48,48,5
541915-1,170,120,120,119,5
565229-9,874,488,487,481,5
585955-2,285,219,219,218,5
535087-3,179,114,114,113,5
545970-1032,503,385,385,382,5
561436-1,77,67,67,66,5
599174-1,46,33,33,33,5
