KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
534790,2,2100,15,Horní Počaply,2106,1185,3,rt
534803,3,2100,9,Hořín,2106,881,4,rt
534838,2,2100,9,Chorušice,2106,563,2,rt
534901,2,2100,9,Kokořín,2106,392,2,rt
534935,4,2100,15,Kostelec nad Labem,2106,4156,3,rt
534951,18,2100,21,Kralupy nad Vltavou,2106,18189,5,rt
535036,2,2100,9,Malý Újezd,2106,1118,2,rt
535044,2,2100,9,Mělnické Vtelno,2106,993,3,rt
535079,3,2100,9,Nelahozeves,2106,2153,4,rt
535087,15,2100,21,Neratovice,2106,15831,8,rt
535117,3,2100,9,Nová Ves,2106,1009,4,rt
535168,2,2100,9,Řepín,2106,697,2,rt
535206,2,3100,11,Dobrá Voda u Českých Budějovic,3101,2652,3,rt
535214,2,2100,9,Střemy,2106,450,3,rt
535222,3,2100,11,Tišice,2106,2416,6,rt
535265,3,2100,9,Velký Borek,2106,1151,3,rt
535303,3,2100,9,Vraňany,2106,929,2,rt
535338,2,2100,9,Vysoká,2106,912,4,rt
535419,44,2100,33,Mladá Boleslav,2107,41868,8,rt
535427,9,2100,21,Bakov nad Jizerou,2107,4967,3,rt
535443,5,2100,21,Bělá pod Bezdězem,2107,4714,6,rt
535451,6,2100,23,Benátky nad Jizerou,2107,7410,6,rt
535508,2,2100,9,Boreč,2107,277,12,rt
535532,3,7100,15,Hanušovice,7105,2962,5,rt
535621,2,2100,9,Čachovice,2107,886,2,rt
535672,9,2100,15,Dobrovice,2107,3496,4,rt
535923,2,2100,9,Chocnějovice,2107,421,4,rt
535931,2,2100,9,Chotětov,2107,1380,2,rt
536041,4,2100,15,Kněžmost,2107,2195,4,rt
536148,3,7100,15,Javorník,7101,2607,7,rt
536181,5,2100,11,Kropáčova Vrutice,2107,931,19,rt
536326,11,2100,23,Mnichovo Hradiště,2107,8711,2,rt
536385,11,7100,21,Jeseník,7101,10658,6,rt
536393,2,7100,7,Jestřebí,7105,674,3,rt
536521,3,7100,9,Jindřichov,7105,1103,3,rt
536687,2,7100,9,Klopina,7105,604,2,rt
536971,3,2100,9,Žďár,2107,1454,3,rt
537004,15,2100,21,Nymburk,2108,14780,9,rt
537292,3,2100,7,Kněžice,2108,527,2,rt
537331,3,2100,15,Kostomlaty nad Labem,2108,1885,2,rt
537349,3,2100,7,Košík,2108,361,2,rt
537373,2,2100,9,Kovanice,2108,895,2,rt
537411,4,2100,11,Křinec,2108,1311,3,rt
537446,3,2100,11,Loučeň,2108,1369,3,rt
537454,9,2100,15,Lysá nad Labem,2108,9732,6,rt
537489,5,2100,15,Městec Králové,2108,2784,6,rt
537501,7,2100,15,Milovice,2108,12460,9,rt
537586,4,2100,9,Opolany,2108,908,2,rt
537641,6,2100,21,Pečky,2104,4771,6,rt
537675,2,2100,7,Pňov-Předhradí,2104,604,3,rt
537683,15,2100,21,Poděbrady,2108,14317,8,rt
537764,3,2100,15,Sadská,2108,3189,3,rt
537802,3,2100,7,Sloveč,2108,515,2,rt
538094,15,2100,21,Brandýs nad Labem-Stará Boleslav,2109,18755,6,rt
538132,11,2100,21,Čelákovice,2109,12008,5,rt
538175,2,1100,15,Praha-Dolní Počernice,1100,2769,4,rt
538205,2,1100,15,Praha-Dubeč,1100,3965,3,rt
538213,12,1100,25,Praha 20,1100,15486,8,rt
538221,2,2100,9,Horoušany,2109,1579,4,rt
538272,3,2100,13,Jirny,2109,2988,5,rt
538281,2,2100,7,Kaliště,2109,339,2,rt
538299,2,2100,15,Kamenice,2109,4782,2,rt
538302,2,1100,15,Praha-Klánovice,1100,3686,6,rt
538311,2,2100,15,Klecany,2109,3601,2,rt
538361,3,1100,15,Praha-Kolovraty,1100,3871,2,rt
538493,4,2100,11,Mnichovice,2109,3964,2,rt
538540,2,2100,15,Nehvizdy,2109,3833,2,rt
538574,4,2100,15,Odolena Voda,2109,6163,5,rt
538680,2,2100,9,Pyšely,2101,2108,3,rt
538728,15,2100,21,Říčany,2109,16182,4,rt
538931,9,1100,25,Praha 22,1100,13088,8,rt
538949,8,1100,17,Praha 21,1100,10490,6,rt
538957,3,2100,15,Úvaly,2109,7035,5,rt
538981,2,2100,15,Velké Popovice,2109,3110,3,rt
539007,3,1100,15,Praha-Vinoř,1100,4484,3,rt
539058,2,2100,15,Zdiby,2109,3766,5,rt
539066,2,2100,11,Zeleneč,2109,3133,3,rt
539139,7,2100,21,Černošice,2110,7329,5,rt
539198,3,2100,15,Dobřichovice,2110,3651,3,rt
539210,3,2100,17,Dolní Břežany,2110,4380,2,rt
539236,2,2100,15,Horoměřice,2110,4511,5,rt
