id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
582786-21004,21004,582786,Brno,0,22979
582786-21005,21005,582786,Brno,1,25258
582786-21006,21006,582786,Brno,1,19269
582786-21007,21007,582786,Brno,1,23906
582786-21008,21008,582786,Brno,1,16286
582786-24001,24001,582786,Brno,2,24905
582786-24002,24002,582786,Brno,2,23313
582786-24003,24003,582786,Brno,0,27171
582786-24004,24004,582786,Brno,0,25135
582786-24005,24005,582786,Brno,2,5481
582786-5001,5001,582786,Brno,2,21411
582786-5002,5002,582786,Brno,2,21200
582786-5003,5003,582786,Brno,2,21448
582786-2001,2001,582786,Brno,2,27116
582786-2002,2002,582786,Brno,2,21939
582786-28001,28001,582786,Brno,3,26291
582786-28002,28002,582786,Brno,3,28662
582786-28003,28003,582786,Brno,2,21298
582786-28004,28004,582786,Brno,2,12409
582786-6001,6001,582786,Brno,0,24086
582786-6002,6002,582786,Brno,3,22385
582786-7001,7001,582786,Brno,3,27042
582786-18001,18001,582786,Brno,0,16079
582786-25001,25001,582786,Brno,3,19909
