OKRSEK,STRANA,HLASY,batch
13029,7,8,42
13029,8,3292,42
13029,9,214,42
13029,10,7,42
13029,11,5,42
13029,12,4,42
13029,13,10,42
13029,14,3196,42
13029,15,347,42
13029,16,335,42
13029,17,203,42
13029,18,9,42
13029,19,0,42
13029,20,31,42
13029,21,2281,42
13029,22,4,42
3037,1,204,42
3037,2,0,42
3037,3,192,42
3037,4,2231,42
3037,5,132,42
3037,6,1267,42
3037,7,0,42
3037,8,2732,42
3037,9,724,42
3037,10,88,42
3037,11,0,42
3037,12,2,42
3037,13,458,42
3037,14,4669,42
3037,15,682,42
3037,16,1198,42
3037,17,1,42
3037,18,4,42
3037,19,1,42
3037,20,85,42
3037,21,2556,42
3037,22,3,42
8013,1,267,42
8013,2,71,42
8013,3,261,42
8013,4,3388,42
8013,5,139,42
8013,6,1550,42
8013,7,0,42
8013,8,2478,42
8013,9,200,42
8013,10,10,42
8013,11,0,42
8013,12,0,42
8013,13,5,42
8013,14,2887,42
8013,15,759,42
8013,16,640,42
8013,17,5,42
8013,18,0,42
8013,19,0,42
8013,20,5,42
8013,21,1045,42
8013,22,3,42
43001,1,0,42
43001,2,2,42
43001,3,0,42
43001,4,225,42
43001,5,195,42
43001,6,660,42
43001,7,0,42
43001,8,837,42
43001,9,151,42
43001,10,140,42
43001,11,13,42
43001,12,0,42
43001,13,130,42
43001,14,1305,42
43001,15,132,42
43001,16,581,42
43001,17,0,42
43001,18,0,42
43001,19,0,42
43001,20,0,42
43001,21,2139,42
43001,22,14,42
24001,1,27,42
24001,2,70,42
24001,3,3,42
24001,4,1499,42
24001,5,4,42
24001,6,1968,42
24001,7,4,42
24001,8,2740,42
24001,9,485,42
24001,10,131,42
24001,11,65,42
24001,12,0,42
24001,13,199,42
24001,14,5437,42
24001,15,156,42
24001,16,1122,42
24001,17,29,42
24001,18,0,42
24001,19,1,42
24001,20,158,42
24001,21,2731,42
24001,22,204,42
