OKRSEK,STRANA,HLASY,batch
36,12,1306,50
36,13,311,50
36,14,276,50
22,1,246,50
22,2,408,50
22,3,169,50
22,4,29,50
22,5,179,50
22,6,18,50
22,7,0,50
22,8,8,50
22,9,558,50
22,10,119,50
22,11,391,50
22,12,1013,50
22,13,488,50
22,14,195,50
21,1,362,51
21,2,339,51
21,3,164,51
21,4,1,51
21,5,340,51
21,6,57,51
21,7,1,51
21,8,27,51
21,9,865,51
21,10,23,51
21,11,669,51
21,12,1552,51
21,13,514,51
21,14,216,51
41,1,310,51
41,2,752,51
41,3,839,51
41,4,97,51
41,5,510,51
41,6,5,51
41,7,10,51
41,8,54,51
41,9,2053,51
41,10,122,51
41,11,812,51
41,12,1757,51
41,13,557,51
41,14,328,51
19,1,211,51
19,2,360,51
19,3,584,51
19,4,37,51
19,5,276,51
19,6,0,51
19,7,3,51
19,8,8,51
19,9,1065,51
19,10,151,51
19,11,277,51
19,12,880,51
19,13,219,51
19,14,118,51
14,1,363,52
14,2,549,52
14,3,608,52
14,4,21,52
14,5,466,52
14,6,3,52
14,7,11,52
14,8,37,52
14,9,1559,52
14,10,128,52
14,11,676,52
14,12,1740,52
14,13,191,52
14,14,451,52
12,1,294,53
12,2,377,53
12,3,828,53
12,4,28,53
12,5,471,53
12,6,8,53
12,7,9,53
12,8,25,53
12,9,1569,53
12,10,156,53
12,11,542,53
12,12,1262,53
12,13,482,53
12,14,204,53
7,1,478,60
7,2,855,60
7,3,1097,60
7,4,41,60
7,5,1195,60
7,6,2,60
7,7,5,60
7,8,9,60
7,9,1618,60
7,10,166,60
7,11,543,60
7,12,2348,60
7,13,401,60
7,14,315,60
20,1,194,66
20,2,185,66
20,3,422,66
20,4,37,66
20,5,294,66
20,6,14,66
20,7,1,66
20,8,68,66
20,9,1203,66
20,10,43,66
20,11,339,66
20,12,1174,66
20,13,394,66
20,14,170,66
5,1,745,71
5,2,772,71
5,3,1178,71
5,4,29,71
5,5,809,71
5,6,5,71
5,7,11,71
5,8,33,71
5,9,2334,71
5,10,242,71
5,11,544,71
5,12,1983,71
5,13,399,71
5,14,697,71
43,1,375,81
43,2,598,81
43,3,625,81
43,4,28,81
43,5,688,81
43,6,3,81
43,7,7,81
43,8,41,81
43,9,2198,81
43,10,78,81
43,11,503,81
43,12,1950,81
43,13,552,81
43,14,362,81
